,Time(min),Bulk Density,X Extruder Load,X Extruder RPM,X Extruder Water,X Temp Zone 3,Temp Zone 5,Die Temp,SME-Watt,Score,Score_unsup,Score_semi,ts,group,feed_comp_num,Time-ts,Time(min)-group-all,split,Die Temp_gbm,SME-Watt_gbm,Score_gbm
59,2,174.0,36.87995286666667,322.87426045000007,13.127420883333334,79.60166745,96.46945736666666,149.90030733333333,790.8661559999999,6.0,6.555555555555555,6.2131333,905,FBC + SPI + SPC,2,46,13,train,149.77085784937725,780.6647903464103,6.485749462266775
60,3,174.0,36.739665,322.9452361666667,12.401752216666669,79.90890925000001,100.17910035,145.25123094999998,787.2450888000001,6.5,6.833528656733076,6.436832900000001,905,FBC + SPI + SPC,2,47,14,train,149.17858323412415,789.2918949743893,6.485749462266775
61,4,174.0,37.94862126666667,322.9919138166667,11.197000183333332,78.7868262,104.49919836666666,153.99631913333332,839.1614412,7.0,7.111501757910598,6.6605325,905,FBC + SPI + SPC,2,48,15,train,149.40363957345727,803.8659208442648,6.81006526092428
62,5,174.0,37.31869618333334,322.87873633333334,12.601770750000002,78.0890292,113.01507526666668,155.1691036,809.7246156,7.0,6.673081901485628,6.76070525,905,FBC + SPI + SPC,2,49,16,train,153.9470970404836,811.8015699621658,6.813580031549646
63,6,174.0,35.77623865,322.89152485,13.19319065,79.37286169999999,112.51106995,156.50179584999998,739.1176044,7.0,6.2346620450606585,6.860878,905,FBC + SPI + SPC,2,50,17,train,153.23235890415148,781.5338900699845,6.79260398921679
64,7,174.0,36.32834966666667,323.5389388666666,13.59302505,78.30523655,105.68252235,143.47336001666665,766.1976023999999,7.0,6.394617158223545,6.860878,905,FBC + SPI + SPC,2,51,18,train,146.78417196139858,752.2922605667168,6.291770126957436
65,8,174.0,36.2116294,323.56355661666663,13.489933783333331,80.31937816666667,105.74691958333332,143.21368953333334,764.8631088,7.0,6.554572271386431,6.860878,905,FBC + SPI + SPC,2,52,19,train,144.21503849517677,792.4977988851416,6.601478411228306
66,9,174.0,36.58891363333333,323.56515514999995,13.24832625,80.73695903333333,108.26877231666668,142.64924216666668,780.2214552,7.375,7.5793499704123075,7.06672075,905,FBC + SPI + SPC,2,53,20,train,143.5881792464574,785.8945462523242,6.903895066275507
67,10,174.0,37.33393366666667,323.56259751666664,13.160441233333334,79.12007805,110.44304336666666,140.37458716666666,815.1289068,7.75,8.604127669438185,7.2725635,905,FBC + SPI + SPC,2,54,21,train,143.8132355857905,800.9178884376537,6.927145374311149
68,0,210.0,33.17994556666667,365.2903592333333,18.710788533333336,77.80292053333332,110.89037095,148.068593,831.8857524,4.0,5.55268022181146,5.1723843,906,FBC + SPI + SPC,2,55,22,train,148.0785744975049,823.2319050337751,5.239245799547472
